id;name;date_given
1;Incredible Fresh Towels Handcrafted Cotton Table;Industrial Music
2;Home Loan Account Borders;transmitter Expanded
3;Car primary;Tennessee generate optimizing
4;Regional;pink Legacy value-added
5;intangible convergence global;Savings Account Moldovan Leu Small
6;Industrial;deposit Alaska Plastic
7;French Polynesia;Unbranded Metal Cheese payment Corporate
8;Enhanced Personal Loan Account;grow Cotton
9;sensor black;client-driven
10;Plastic Savings Account;Mandatory Berkshire hardware
